web-scraper-order,web-scraper-start-url,xiaomi,xiaomi-href,image-src,price,Brand,Colors,Build,Dimensions,SAR Value,Screen Size,Screen Type,Screen Resolution,Aspect Ratio,Screen Protection,Screen Quality,GPU,Operating System,Chipset,Cpu,Clock Speed,Architecture,Varients,Front Video Recording,Front Camera Resolution,Battery Capacity,Charger Type,Charging Time,Fast Charging,bluetooth ,Audio Jack,Rear Flash,Rear Video Recording,Rear Camera Features,Rear Cam specs,Network Support,SIM Slot(s),eSIM,VoLTE,Samsung,Samsung-href
"1628685933-30","https://www.cashify.in/search-post/product?q=xiaomi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Xiaomi Redmi Y2","https://www.cashify.in/redmi-y2"
"1628685959-36","https://www.cashify.in/search-post/product?q=xiaomi","Xiaomi Mi 10T","https://www.cashify.in/xiaomi-mi-10t","/static/b.png","₹32,999","Xiaomi","Back: Gorilla Glass","165.1 x 76.4 x 9.3 mm","Head: 0.864 W/kg, Body: 0.861 W/kg","null","6.67 inches","IPS LCD","1080 x 2400 pixels","20:09","Gorilla Glass 5","FHD","Adreno 650","Android v10 (Q)","Qualcomm Snapdragon 865","Octa core (2.84 GHz, Single core, Kryo 585 + 2.42 GHz, Tri core, Kryo 585 + 1.8 GHz, Quad core, Kryo 585)","2.84 GHz","64 bit","128GB 6GB RAM, 128GB 8GB RAM","1920x1080 @ 30 fps, 1280x720 @ 30 fps","20 MP","5000 mAh","Fast, 33W","100 % in 59 minutes","Yes","Yes","Yes","Yes, LED Flash","7680x4320 @ 24 fps, 3840x2160 @ 30 fps, 1920x1080 @ 60 fps","10 x Digital Zoom, Auto Flash, Face detection, Touch to focus","Triple, 64MP + 13MP + 5MP","5G","Dual SIM, GSM+GSM","No","Yes","",""
"1628685933-26","https://www.cashify.in/search-post/product?q=xiaomi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Xiaomi Redmi Note 5","https://www.cashify.in/xiaomi-redmi-note-5"
"1628685933-20","https://www.cashify.in/search-post/product?q=xiaomi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Xiaomi Mi 10 Pro 5G","https://www.cashify.in/xiaomi-mi-10-pro-5g"
"1628685933-24","https://www.cashify.in/search-post/product?q=xiaomi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Xiaomi Mi 10T Pro","https://www.cashify.in/xiaomi-mi-10t-pro"
"1628685933-28","https://www.cashify.in/search-post/product?q=xiaomi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Xiaomi Mi Note 10 Lite","https://www.cashify.in/xiaomi-mi-note-10-lite"
"1628685933-27","https://www.cashify.in/search-post/product?q=xiaomi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Xiaomi Redmi 9T","https://www.cashify.in/xiaomi-redmi-9t"
"1628685933-14","https://www.cashify.in/search-post/product?q=xiaomi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Xiaomi Mi 10i 5G","https://www.cashify.in/xiaomi-mi-10i-5g"
"1628685939-31","https://www.cashify.in/search-post/product?q=xiaomi","Xiaomi Redmi Y2","https://www.cashify.in/redmi-y2","https://s3b.cashify.in/gpro/uploads/2019/06/05060909/xiaomi-redmi-y2-001.jpg","₹8,999","Xiaomi","Back: Plastic","160.7 x 77.2 x 8.1 mm","Head: 1.115 W/kg, Body: 1.238 W/kg","null","5.99 inches","IPS LCD","720 x 1440 pixels","18:09","Gorilla Glass 3","null","Adreno 506","Android v8.1 (Oreo)","Qualcomm Snapdragon 625 MSM8953","Octa core, 2 GHz, Cortex A53","2 GHz","64 bit","64 GB, 4 GB RAM or 32 GB, 3 GB RAM","1920x1080 @ 30 fps","16 MP","3080 mAh","No","null","null","No","Yes","Yes, Dual-color LED Flash","1920x1080 @ 30 fps, 1280x720 @ 30 fps","Digital Zoom, Auto Flash, Face detection, Touch to focus","Dual, 12MP + 5MP","4G","Dual SIM, GSM+GSM","No","Yes","",""
"1628685933-1","https://www.cashify.in/search-post/product?q=xiaomi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Xiaomi Redmi Note 9 Pro Max","https://www.cashify.in/redmi-note-9-pro-max"
